Company,Metric,Lag,Test,F_statistic,p_value,Significant
Amazon,Price,3,ssr_chi2test,8.422475,0.038042,True
Amazon,Price,3,lrtest,8.264553,0.040849,True
Amazon,Price,3,params_ftest,2.717755,0.045617,True
Amazon,Price,4,ssr_ftest,2.1258,0.078786,False
Amazon,Price,4,ssr_chi2test,8.869368,0.064449,False
Amazon,Price,4,lrtest,8.693691,0.069229,False
Amazon,Price,4,params_ftest,2.1258,0.078786,False
Amazon,Price,5,ssr_ftest,1.630059,0.153445,False
Amazon,Price,5,ssr_chi2test,8.585503,0.126784,False
Amazon,Price,5,lrtest,8.420013,0.134557,False
Amazon,Price,5,params_ftest,1.630059,0.153445,False
Amazon,Price,6,ssr_ftest,1.506504,0.177548,False
Amazon,Price,6,ssr_chi2test,9.61788,0.141694,False
Amazon,Price,6,lrtest,9.409903,0.151804,False
Amazon,Price,6,params_ftest,1.506504,0.177548,False
Amazon,Price,7,ssr_ftest,2.034161,0.052524,False
Amazon,Price,7,ssr_chi2test,15.307059,0.032259,True
Amazon,Price,7,lrtest,14.786718,0.038833,True
Amazon,Price,7,params_ftest,2.034161,0.052524,False
Amazon,Price,8,ssr_ftest,1.859149,0.068407,False
Amazon,Price,8,ssr_chi2test,16.156662,0.040192,True
Amazon,Price,8,lrtest,15.575819,0.04887,True
Amazon,Price,8,params_ftest,1.859149,0.068407,False
Amazon,Price,9,ssr_ftest,1.709218,0.089094,False
Amazon,Price,9,ssr_chi2test,16.889542,0.050474,False
Amazon,Price,9,lrtest,16.253343,0.061776,False
Amazon,Price,9,params_ftest,1.709218,0.089094,False
Amazon,Price,10,ssr_ftest,1.828399,0.058042,False
Amazon,Price,10,ssr_chi2test,20.294276,0.026589,True
Amazon,Price,10,lrtest,19.38077,0.035685,True
Amazon,Price,10,params_ftest,1.828399,0.058042,False
Amazon,Price,11,ssr_ftest,1.898871,0.041723,True
Amazon,Price,11,ssr_chi2test,23.442972,0.015297,True
Amazon,Price,11,lrtest,22.229744,0.022653,True
Amazon,Price,11,params_ftest,1.898871,0.041723,True
Amazon,Price,12,ssr_ftest,1.739908,0.06146,False
Amazon,Price,12,ssr_chi2test,23.70037,0.022335,True
Amazon,Price,12,lrtest,22.455782,0.032718,True
Amazon,Price,12,params_ftest,1.739908,0.06146,False
Amazon,Volume,1,ssr_ftest,21.588127,6e-06,True
Amazon,Volume,1,ssr_chi2test,21.885212,3e-06,True
Amazon,Volume,1,lrtest,20.868201,5e-06,True
Amazon,Volume,1,params_ftest,21.588127,6e-06,True
Amazon,Volume,2,ssr_ftest,6.853021,0.001303,True
Amazon,Volume,2,ssr_chi2test,14.024788,0.000901,True
Amazon,Volume,2,lrtest,13.595889,0.001116,True
Amazon,Volume,2,params_ftest,6.853021,0.001303,True
Amazon,Volume,3,ssr_ftest,2.237601,0.08489,False
Amazon,Volume,3,ssr_chi2test,6.934451,0.074017,False
Amazon,Volume,3,lrtest,6.826928,0.077624,False
Amazon,Volume,3,params_ftest,2.237601,0.08489,False
Amazon,Volume,4,ssr_ftest,3.015804,0.019035,True
Amazon,Volume,4,ssr_chi2test,12.582687,0.013506,True
Amazon,Volume,4,lrtest,12.232953,0.0157,True
Amazon,Volume,4,params_ftest,3.015804,0.019035,True
Amazon,Volume,5,ssr_ftest,2.758453,0.019535,True
Amazon,Volume,5,ssr_chi2test,14.528747,0.012578,True
Amazon,Volume,5,lrtest,14.063051,0.015214,True
Amazon,Volume,5,params_ftest,2.758453,0.019535,True
Amazon,Volume,6,ssr_ftest,2.027054,0.063609,False
Amazon,Volume,6,ssr_chi2test,12.941191,0.043979,True
Amazon,Volume,6,lrtest,12.568339,0.050427,False
Amazon,Volume,6,params_ftest,2.027054,0.063609,False
Amazon,Volume,7,ssr_ftest,1.709233,0.108577,False
Amazon,Volume,7,ssr_chi2test,12.861982,0.075543,False
Amazon,Volume,7,lrtest,12.491946,0.085498,False
Amazon,Volume,7,params_ftest,1.709233,0.108577,False
Amazon,Volume,8,ssr_ftest,1.409565,0.19438,False
Amazon,Volume,8,ssr_chi2test,12.249625,0.140409,False
Amazon,Volume,8,lrtest,11.911862,0.15518,False
Amazon,Volume,8,params_ftest,1.409565,0.19438,False
Amazon,Volume,9,ssr_ftest,1.036848,0.412092,False
Amazon,Volume,9,ssr_chi2test,10.245558,0.330974,False
Amazon,Volume,9,lrtest,10.006773,0.349937,False
Amazon,Volume,9,params_ftest,1.036848,0.412092,False
Amazon,Volume,10,ssr_ftest,1.558146,0.121892,False
Amazon,Volume,10,ssr_chi2test,17.294608,0.068094,False
Amazon,Volume,10,lrtest,16.625337,0.083076,False
Amazon,Volume,10,params_ftest,1.558146,0.121892,False
Amazon,Volume,11,ssr_ftest,1.392793,0.179013,False
Amazon,Volume,11,ssr_chi2test,17.19507,0.102236,False
Amazon,Volume,11,lrtest,16.53031,0.122557,False
Amazon,Volume,11,params_ftest,1.392793,0.179013,False
Amazon,Volume,12,ssr_ftest,1.241156,0.257854,False
Amazon,Volume,12,ssr_chi2test,16.90656,0.153146,False
Amazon,Volume,12,lrtest,16.260462,0.179596,False
Amazon,Volume,12,params_ftest,1.241156,0.257854,False
Amazon,Volatility,1,ssr_ftest,6.37485,0.012286,True
Amazon,Volatility,1,ssr_chi2test,6.462577,0.011017,True
Amazon,Volatility,1,lrtest,6.369889,0.011607,True
Amazon,Volatility,1,params_ftest,6.37485,0.012286,True
Amazon,Volatility,2,ssr_ftest,3.763181,0.024753,True
Amazon,Volatility,2,ssr_chi2test,7.701393,0.021265,True
Amazon,Volatility,2,lrtest,7.56966,0.022713,True
Amazon,Volatility,2,params_ftest,3.763181,0.024753,True
Amazon,Volatility,3,ssr_ftest,1.758649,0.156137,False
Amazon,Volatility,3,ssr_chi2test,5.450153,0.141651,False
Amazon,Volatility,3,lrtest,5.38344,0.145779,False
Amazon,Volatility,3,params_ftest,1.758649,0.156137,False
Amazon,Volatility,4,ssr_ftest,2.422164,0.049423,True
Amazon,Volatility,4,ssr_chi2test,10.105871,0.038682,True
Amazon,Volatility,4,lrtest,9.878628,0.042523,True
Amazon,Volatility,4,params_ftest,2.422164,0.049423,True
Amazon,Volatility,5,ssr_ftest,1.946716,0.088068,False
Amazon,Volatility,5,ssr_chi2test,10.253333,0.068367,False
Amazon,Volatility,5,lrtest,10.018466,0.074714,False
Amazon,Volatility,5,params_ftest,1.946716,0.088068,False
Amazon,Volatility,6,ssr_ftest,1.656201,0.133486,False
Amazon,Volatility,6,ssr_chi2test,10.57358,0.102484,False
Amazon,Volatility,6,lrtest,10.32293,0.111695,False
Amazon,Volatility,6,params_ftest,1.656201,0.133486,False
Amazon,Volatility,7,ssr_ftest,1.43857,0.191624,False
Amazon,Volatility,7,ssr_chi2test,10.825243,0.146426,False
Amazon,Volatility,7,lrtest,10.561533,0.158921,False
Amazon,Volatility,7,params_ftest,1.43857,0.191624,False
Amazon,Volatility,8,ssr_ftest,1.223102,0.287178,False
Amazon,Volatility,8,ssr_chi2test,10.629195,0.223607,False
Amazon,Volatility,8,lrtest,10.373651,0.239773,False
Amazon,Volatility,8,params_ftest,1.223102,0.287178,False
Amazon,Volatility,9,ssr_ftest,1.334058,0.221446,False
Amazon,Volatility,9,ssr_chi2test,13.182415,0.154524,False
Amazon,Volatility,9,lrtest,12.790576,0.172314,False
Amazon,Volatility,9,params_ftest,1.334058,0.221446,False
Amazon,Volatility,10,ssr_ftest,1.961018,0.039592,True
Amazon,Volatility,10,ssr_chi2test,21.766277,0.016341,True
Amazon,Volatility,10,lrtest,20.719931,0.023133,True
Amazon,Volatility,10,params_ftest,1.961018,0.039592,True
Amazon,Volatility,11,ssr_ftest,1.460542,0.149471,False
Amazon,Volatility,11,ssr_chi2test,18.031485,0.080853,False
Amazon,Volatility,11,lrtest,17.302285,0.099247,False
Amazon,Volatility,11,params_ftest,1.460542,0.149471,False
Amazon,Volatility,12,ssr_ftest,1.409014,0.164826,False
Amazon,Volatility,12,ssr_chi2test,19.193055,0.083975,False
Amazon,Volatility,12,lrtest,18.366002,0.105021,False
